uid,title,genre,aired,episodes,ranked,score,link
5539,Blassreiter: Navi,"['Action', 'Sci-Fi']",22-Jun-08,1,6585,6.39,https://myanimelist.net/anime/5539/Blassreiter__Navi
33473,Tokyo Futago Athletic,"['Comedy', 'Sports']","Dec 30, 2016 to Jan 7, 2017",8,14252,6.72,https://myanimelist.net/anime/33473/Tokyo_Futago_Athletic
36857,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie,"['Sci-Fi', 'Adventure', 'Police', 'Mecha']",24-Aug-18,1,14256,7,https://myanimelist.net/anime/36857/Tomica_Hyper_Rescue_Drive_Head__Kidou_Kyuukyuu_Keisatsu_Movie
39099,Tomo: Tabidachi no Toki,"['Music', 'Kids']",1-Aug-13,1,14257,5.26,https://myanimelist.net/anime/39099/Tomo__Tabidachi_no_Toki
29209,Tomodachi de Iyou ne,"['Kids', 'Slice of Life']",1992 to 1993,26,14259,6.65,https://myanimelist.net/anime/29209/Tomodachi_de_Iyou_ne
35534,Tomoyo,"['Music', 'Kids']",2-Aug-11,1,14262,5.1,https://myanimelist.net/anime/35534/Tomoyo
20233,Tonari no Tamageta-kun,"['Comedy', 'Sci-Fi']","Apr 5, 1974 to Jun 27, 1975",60,14264,6.1,https://myanimelist.net/anime/20233/Tonari_no_Tamageta-kun
3937,Takoyaki Mant-Man,"['Comedy', 'Sci-Fi']","Apr 4, 1998 to Sep 5, 1999",77,6577,6.4,https://myanimelist.net/anime/3937/Takoyaki_Mant-Man
31867,Shoujo-tachi wa Kouya wo Mezasu: Iubeki Monokashira,['School'],25-Mar-16,1,6576,6.4,https://myanimelist.net/anime/31867/Shoujo-tachi_wa_Kouya_wo_Mezasu__Iubeki_Monokashira
39453,Tonbo ni Natta Yat-chan,['Kids'],1973,1,14267,6.17,https://myanimelist.net/anime/39453/Tonbo_ni_Natta_Yat-chan
9061,RPG Densetsu Hepoi,"['Adventure', 'Fantasy']","Oct 6, 1990 to Sep 28, 1991",50,6574,6.4,https://myanimelist.net/anime/9061/RPG_Densetsu_Hepoi
39861,Tonosama Gaeru,"['Music', 'Comedy', 'Kids']",2-Apr-04,1,14271,3.43,https://myanimelist.net/anime/39861/Tonosama_Gaeru
23769,Toppuku Kyousou Kyoku,"['Comedy', 'Shounen']","Jun 28, 1996 to Jul 27, 1996",2,14272,6.08,https://myanimelist.net/anime/23769/Toppuku_Kyousou_Kyoku
10607,Rerere no Tensai Bakabon,['Comedy'],"Oct 19, 1999 to Mar 21, 2000",24,6572,6.4,https://myanimelist.net/anime/10607/Rerere_no_Tensai_Bakabon
38326,Totan Yane no Waltz,"['Kids', 'Music']",1-Oct-85,1,14277,5.26,https://myanimelist.net/anime/38326/Totan_Yane_no_Waltz
39352,Touch: Tobidashi wa Out Da yo!,"['Sports', 'Kids']",1987,1,14283,6.74,https://myanimelist.net/anime/39352/Touch__Tobidashi_wa_Out_Da_yo
38384,Toyo Suisan x Tanuki to Kitsune,['Comedy'],"Sep 24, 2018 to ?",,14285,7.86,https://myanimelist.net/anime/38384/Toyo_Suisan_x_Tanuki_to_Kitsune
22131,Train Heroes Movie,['Kids'],22-Feb-14,1,14288,6.8,https://myanimelist.net/anime/22131/Train_Heroes_Movie
39787,Tsuki,"['Kids', 'Music']",2-Oct-06,1,14299,4.72,https://myanimelist.net/anime/39787/Tsuki
32598,Tsukushi no Iwai,['Historical'],Not available,1,14303,6.6,https://myanimelist.net/anime/32598/Tsukushi_no_Iwai
39854,Tsunagaru,['Music'],24-Nov-11,1,14304,5.36,https://myanimelist.net/anime/39854/Tsunagaru
5473,Tsuri Baka Nisshi,"['Slice of Life', 'Comedy']","Nov 2, 2002 to Sep 13, 2003",36,14306,5.98,https://myanimelist.net/anime/5473/Tsuri_Baka_Nisshi
10943,Tsuyoshi Shikkari Shinasai: Tsuyoshi no Time Machine de Shikkari Shinasai,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Slice of Life']",5-Dec-93,1,14309,6.38,https://myanimelist.net/anime/10943/Tsuyoshi_Shikkari_Shinasai__Tsuyoshi_no_Time_Machine_de_Shikkari_Shinasai
38876,U.F.O,['Dementia'],1973,1,14330,5.5,https://myanimelist.net/anime/38876/UFO
12901,TWD Express Rolling Takeoff,"['Adventure', 'Sci-Fi']",14-Jul-87,1,14325,5.68,https://myanimelist.net/anime/12901/TWD_Express_Rolling_Takeoff
35041,Uchuu Bouei-tai Taabou no Shinkirou Hoshi wo Sukue!,"['Kids', 'Sci-Fi']",1993,1,14335,6.11,https://myanimelist.net/anime/35041/Uchuu_Bouei-tai_Taabou_no_Shinkirou_Hoshi_wo_Sukue
8346,Ukkari Pénélope OVA,['Fantasy'],23-Nov-07,2,14351,5.56,https://myanimelist.net/anime/8346/Ukkari_P%C3%A9n%C3%A9lope_OVA
12861,Umeboshi Denka: Uchuu no Hate kara Panparopan!,['Comedy'],12-Mar-94,1,14358,6.34,https://myanimelist.net/anime/12861/Umeboshi_Denka__Uchuu_no_Hate_kara_Panparopan
39149,Ushiwakamaru,"['Historical', 'Kids']",Not available,4,14383,6.2,https://myanimelist.net/anime/39149/Ushiwakamaru
40171,Ushinawareta Choushoku,"['Dementia', 'Psychological']",13-Jan-15,1,14380,5.12,https://myanimelist.net/anime/40171/Ushinawareta_Choushoku
37630,Washimo 6th Season,"['Sci-Fi', 'Slice of Life', 'Comedy', 'Kids', 'School']","Apr 2, 2018 to Jan 7, 2019",42,14429,5.8,https://myanimelist.net/anime/37630/Washimo_6th_Season
